ID,Job_Title,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Lower_Salary,Upper_Salary,Avg_SalaryK,job_title_sim,seniority_by_title,Degree,Skills,Average Salary ,Age
108,Data Scientist,3.2,MITRE,"McLean, VA","Bedford, MA",5001 - 10000,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),72,123,97.5,data scientist,Not Specified,Not specified,Tableau,97.5,68
108,Data Scientist,3.2,MITRE,"McLean, VA","Bedford, MA",5001 - 10000,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),72,123,97.5,data scientist,Not Specified,Not specified,Power BI,97.5,68
108,Data Scientist,3.2,MITRE,"McLean, VA","Bedford, MA",5001 - 10000,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),72,123,97.5,data scientist,Not Specified,Not specified,MongoDB,97.5,68
109,Data Scientist,3.9,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 - 1000,2010,Private,IT Services,Information Technology,$100 to $500 million (USD),74,124,99,data scientist,Not Specified,Not specified,Python,99,16
109,Data Scientist,3.9,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 - 1000,2010,Private,IT Services,Information Technology,$100 to $500 million (USD),74,124,99,data scientist,Not Specified,Not specified,Excel,99,16
109,Data Scientist,3.9,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 - 1000,2010,Private,IT Services,Information Technology,$100 to $500 million (USD),74,124,99,data scientist,Not Specified,Not specified,Tableau,99,16
110,Data Analyst,3.1,DentaQuest,"Milwaukee, WI","Boston, MA",1001 - 5000,2001,Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),40,73,56.5,analyst,Not Specified,Not specified,Excel,56.5,25
110,Data Analyst,3.1,DentaQuest,"Milwaukee, WI","Boston, MA",1001 - 5000,2001,Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),40,73,56.5,analyst,Not Specified,Not specified,SQL,56.5,25
111,Lead Data Scientist,4.1,Redjack,"Silver Spring, MD","Silver Spring, MD",1-50,2007,Private,IT Services,Information Technology,Unknown / Non-Applicable,102,164,133,data scientist,sr,Not specified,Python,133,19
113,Data Scientist,3.8,7Park Data,"New York, NY","New York, NY",51 - 200,2012,Private,Research & Development,Business Services,Unknown / Non-Applicable,89,153,121,data scientist,Not Specified,Not specified,Python,121,14
113,Data Scientist,3.8,7Park Data,"New York, NY","New York, NY",51 - 200,2012,Private,Research & Development,Business Services,Unknown / Non-Applicable,89,153,121,data scientist,Not Specified,Not specified,Spark,121,14
113,Data Scientist,3.8,7Park Data,"New York, NY","New York, NY",51 - 200,2012,Private,Research & Development,Business Services,Unknown / Non-Applicable,89,153,121,data scientist,Not Specified,Not specified,Keras,121,14
113,Data Scientist,3.8,7Park Data,"New York, NY","New York, NY",51 - 200,2012,Private,Research & Development,Business Services,Unknown / Non-Applicable,89,153,121,data scientist,Not Specified,Not specified,PyTorch,121,14
113,Data Scientist,3.8,7Park Data,"New York, NY","New York, NY",51 - 200,2012,Private,Research & Development,Business Services,Unknown / Non-Applicable,89,153,121,data scientist,Not Specified,Not specified,Scikit,121,14
113,Data Scientist,3.8,7Park Data,"New York, NY","New York, NY",51 - 200,2012,Private,Research & Development,Business Services,Unknown / Non-Applicable,89,153,121,data scientist,Not Specified,Not specified,TensorFlow,121,14
114,Data Scientist,4.7,Rapid Response Monitoring,"Syracuse, NY","Syracuse, NY",501 - 1000,1992,Private,Security Services,Business Services,Unknown / Non-Applicable,61,110,85.5,data scientist,Not Specified,Master's,Python,85.5,34
114,Data Scientist,4.7,Rapid Response Monitoring,"Syracuse, NY","Syracuse, NY",501 - 1000,1992,Private,Security Services,Business Services,Unknown / Non-Applicable,61,110,85.5,data scientist,Not Specified,Master's,SQL,85.5,34
117,"Data Scientist, Rice University",4.3,Trilogy Ed,"Houston, TX","New York, NY",1001 - 5000,2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,65,110,87.5,data scientist,Not Specified,Not specified,Python,87.5,11
117,"Data Scientist, Rice University",4.3,Trilogy Ed,"Houston, TX","New York, NY",1001 - 5000,2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,65,110,87.5,data scientist,Not Specified,Not specified,SQL,87.5,11
117,"Data Scientist, Rice University",4.3,Trilogy Ed,"Houston, TX","New York, NY",1001 - 5000,2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,65,110,87.5,data scientist,Not Specified,Not specified,TensorFlow,87.5,11
