ID,Job_Title,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Lower_Salary,Upper_Salary,Avg_SalaryK,job_title_sim,seniority_by_title,Degree,Skills,Average Salary ,Age
73,Data Scientist,2.8,Berg Health,"Framingham, MA","Framingham, MA",51 - 200,2006,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),88,148,118,data scientist,Not Specified,PhD,SQL,118,20
74,Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 - 200,2003,Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),60,99,79.5,data scientist,Not Specified,Not specified,Python,79.5,23
74,Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 - 200,2003,Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),60,99,79.5,data scientist,Not Specified,Not specified,Excel,79.5,23
74,Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 - 200,2003,Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),60,99,79.5,data scientist,Not Specified,Not specified,SQL,79.5,23
74,Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 - 200,2003,Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),60,99,79.5,data scientist,Not Specified,Not specified,Keras,79.5,23
74,Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 - 200,2003,Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),60,99,79.5,data scientist,Not Specified,Not specified,PyTorch,79.5,23
74,Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 - 200,2003,Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),60,99,79.5,data scientist,Not Specified,Not specified,Scikit,79.5,23
76,Data Scientist - Research,3.1,C Space,"Boston, MA","Boston, MA",201 - 500,1999,Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),41,72,56.5,data scientist,Not Specified,Not specified,Python,56.5,27
76,Data Scientist - Research,3.1,C Space,"Boston, MA","Boston, MA",201 - 500,1999,Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),41,72,56.5,data scientist,Not Specified,Not specified,SQL,56.5,27
76,Data Scientist - Research,3.1,C Space,"Boston, MA","Boston, MA",201 - 500,1999,Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),41,72,56.5,data scientist,Not Specified,Not specified,Tableau,56.5,27
77,Data Scientist,3.2,"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",1-50,,Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),96,161,128.5,data scientist,Not Specified,Not specified,Python,128.5,
77,Data Scientist,3.2,"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",1-50,,Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),96,161,128.5,data scientist,Not Specified,Not specified,Spark,128.5,
77,Data Scientist,3.2,"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",1-50,,Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),96,161,128.5,data scientist,Not Specified,Not specified,AWS,128.5,
77,Data Scientist,3.2,"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",1-50,,Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),96,161,128.5,data scientist,Not Specified,Not specified,SQL,128.5,
77,Data Scientist,3.2,"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",1-50,,Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),96,161,128.5,data scientist,Not Specified,Not specified,Hadoop,128.5,
79,Analytics Consultant,4.4,SpringML,"Indianapolis, IN","Pleasanton, CA",1-50,2015,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,52,81,66.5,data analitics,Not Specified,Not specified,Python,66.5,11
79,Analytics Consultant,4.4,SpringML,"Indianapolis, IN","Pleasanton, CA",1-50,2015,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,52,81,66.5,data analitics,Not Specified,Not specified,Tableau,66.5,11
